500 x 50
CUBLAS dgeqrf Time=954.427004 ms
MAGMA dgeqrf Time=206.377983 ms
CUBLAS dgeqrf Time=955.909014 ms
MAGMA dgeqrf Time=206.667900 ms
CUBLAS dgeqrf Time=956.496954 ms
MAGMA dgeqrf Time=206.800222 ms
CUBLAS dgeqrf Time=954.272985 ms
1500 x 300
MAGMA dgeqrf Time=335.888863 ms
CUBLAS dgeqrf Time=1372.364998 ms
MAGMA dgeqrf Time=335.785151 ms
CUBLAS dgeqrf Time=1372.781038 ms
MAGMA dgeqrf Time=335.638046 ms
CUBLAS dgeqrf Time=1372.328043 ms
MAGMA dgeqrf Time=335.819006 ms
CUBLAS dgeqrf Time=1371.961832 ms
MAGMA dgeqrf Time=335.497141 ms
CUBLAS dgeqrf Time=1372.804880 ms
1500 x 350
MAGMA dgeqrf Time=478.191853 ms
CUBLAS dgeqrf Time=1875.701189 ms
MAGMA dgeqrf Time=473.053932 ms
CUBLAS dgeqrf Time=1857.641935 ms
MAGMA dgeqrf Time=472.797871 ms
CUBLAS dgeqrf Time=1856.946230 ms
MAGMA dgeqrf Time=472.684145 ms
CUBLAS dgeqrf Time=1857.330084 ms
MAGMA dgeqrf Time=472.685814 ms
CUBLAS dgeqrf Time=1857.547998 ms
1500 x 400
MAGMA dgeqrf Time=688.144922 ms
CUBLAS dgeqrf Time=2407.124996 ms
MAGMA dgeqrf Time=687.979221 ms
CUBLAS dgeqrf Time=2406.478167 ms
MAGMA dgeqrf Time=688.509941 ms
CUBLAS dgeqrf Time=2409.923077 ms
MAGMA dgeqrf Time=689.013004 ms
CUBLAS dgeqrf Time=2409.754038 ms
MAGMA dgeqrf Time=688.585043 ms
CUBLAS dgeqrf Time=2407.943010 ms
2000 x 50
MAGMA dgeqrf Time=15.694857 ms
CUBLAS dgeqrf Time=49.400091 ms
MAGMA dgeqrf Time=15.404940 ms
CUBLAS dgeqrf Time=49.324036 ms
MAGMA dgeqrf Time=15.676022 ms
CUBLAS dgeqrf Time=49.377918 ms
MAGMA dgeqrf Time=15.644073 ms
CUBLAS dgeqrf Time=49.310923 ms
MAGMA dgeqrf Time=15.419960 ms
CUBLAS dgeqrf Time=49.243927 ms
2000 x 100
MAGMA dgeqrf Time=41.238070 ms
CUBLAS dgeqrf Time=194.260120 ms
