1500 x 400
CUBLAS dgeqrf Time=6.246090 ms
1500 x 0
MAGMA dgeqrf Time=0.006199 ms
CUBLAS dgeqrf Time=0.019073 ms
MAGMA dgeqrf Time=0.005960 ms
CUBLAS dgeqrf Time=0.017881 ms
MAGMA dgeqrf Time=0.006914 ms
CUBLAS dgeqrf Time=0.018120 ms
MAGMA dgeqrf Time=0.006914 ms
CUBLAS dgeqrf Time=0.016928 ms
MAGMA dgeqrf Time=0.005960 ms
CUBLAS dgeqrf Time=0.019073 ms
1500 x -20
